id,size_id,date,price,cost
S8955835626,325645842,2024-03-18 07:25:01+00:00,3123.0,1200.0
S8956821271,325645841,2024-03-18 08:31:38+00:00,3123.0,1200.0
S8957186908,325645842,2024-03-18 08:54:31+00:00,3063.0,1200.0
S8958876219,325645843,2024-03-18 10:29:57+00:00,3063.0,1200.0
S8960775268,325645842,2024-03-18 12:12:16+00:00,3123.0,1200.0
S8961020403,325645842,2024-03-18 12:25:29+00:00,3123.0,1200.0
S8962200257,325645841,2024-03-18 13:24:14+00:00,3063.0,1200.0
S8964006949,325645843,2024-03-18 14:49:45+00:00,3123.0,1200.0
S8964428188,325645843,2024-03-18 15:09:47+00:00,3123.0,1200.0
S8966542816,325645841,2024-03-18 17:15:24+00:00,3123.0,1200.0
S8967695567,325645841,2024-03-19 05:58:55+00:00,3123.0,1200.0
S8968655652,325645841,2024-03-19 07:45:19+00:00,3063.0,1200.0
S8969917564,325645841,2024-03-19 09:14:48+00:00,3063.35,1200.0
S8970609713,325645841,2024-03-19 09:58:36+00:00,3063.0,1200.0
S8974947729,325645841,2024-03-19 14:02:51+00:00,3123.0,1200.0
S8975556931,325645842,2024-03-19 14:31:41+00:00,3063.0,1200.0
S8975613534,325645843,2024-03-19 14:33:44+00:00,3123.0,1200.0
S8978152028,325645841,2024-03-19 16:48:45+00:00,3123.0,1200.0
S8979034540,325645841,2024-03-19 19:27:51+00:00,3123.0,1200.0
S8959537711,325675974,2024-03-18 11:04:02+00:00,3123.0,1200.0
S8961297557,325675974,2024-03-18 12:39:56+00:00,3123.0,1200.0
S8964919156,325675973,2024-03-18 15:33:21+00:00,3123.0,1200.0
S8969783211,325675973,2024-03-19 09:05:59+00:00,3123.0,1200.0
S8972245071,325675974,2024-03-19 11:35:00+00:00,3123.0,1200.0
S8978028902,325675973,2024-03-19 16:40:09+00:00,3123.0,1200.0
S8956256441,325658459,2024-03-18 07:54:06+00:00,3123.0,1200.0
S8958501503,325658460,2024-03-18 10:09:36+00:00,3123.0,1200.0
S8963771134,325658460,2024-03-18 14:38:48+00:00,3123.0,1200.0
S8977396896,325658459,2024-03-19 16:01:10+00:00,3123.0,1200.0
S8958463914,336583935,2024-03-18 10:07:15+00:00,2373.0,645.0
S8958531064,336583936,2024-03-18 10:11:30+00:00,2373.0,645.0
S8961176227,336583935,2024-03-18 12:33:04+00:00,2373.0,645.0
S8961609740,336583936,2024-03-18 12:55:08+00:00,2373.0,645.0
S8964086266,336583936,2024-03-18 14:53:14+00:00,2373.0,645.0
S8966808965,336583935,2024-03-18 17:38:37+00:00,2373.0,645.0
S8967684554,336583937,2024-03-19 05:57:04+00:00,2373.0,645.0
S8969770090,336583936,2024-03-19 09:05:13+00:00,2374.24,645.0
S8970686638,336583937,2024-03-19 10:02:52+00:00,2373.0,645.0
S8970719520,336583935,2024-03-19 10:05:49+00:00,2373.0,645.0
S8971110590,336583937,2024-03-19 10:27:54+00:00,2373.0,645.0
S8973405659,336583935,2024-03-19 12:41:36+00:00,2373.0,645.0
S8974905309,336583935,2024-03-19 14:00:11+00:00,2373.0,645.0
S8976329751,336583939,2024-03-19 15:08:03+00:00,2373.0,645.0
S8954843972,330282013,2024-03-18 05:13:40+00:00,2013.0,645.0
S8954998249,330282013,2024-03-18 05:50:23+00:00,2013.0,645.0
S8955726343,330282013,2024-03-18 07:17:37+00:00,2013.0,645.0
S8957853362,330282013,2024-03-18 09:33:39+00:00,2013.0,645.0
S8959284034,330282014,2024-03-18 10:50:15+00:00,2013.0,645.0
S8960113257,330282016,2024-03-18 11:36:58+00:00,2013.0,645.0
S8966779094,330282015,2024-03-18 17:36:17+00:00,2013.0,645.0
S8967550419,330282019,2024-03-19 05:27:09+00:00,2013.0,645.0
S8968960409,330282014,2024-03-19 08:09:05+00:00,2013.0,645.0
S8969102820,330282012,2024-03-19 08:19:22+00:00,2013.0,645.0
S8969163592,330282013,2024-03-19 08:22:48+00:00,2013.0,645.0
S8970001212,330282014,2024-03-19 09:19:53+00:00,2013.0,645.0
S8970161764,330282013,2024-03-19 09:30:03+00:00,2013.0,645.0
S8970320460,330282013,2024-03-19 09:40:45+00:00,2013.0,645.0
S8970332134,330282017,2024-03-19 09:39:59+00:00,2013.0,645.0
S8970796961,330282018,2024-03-19 10:09:18+00:00,2013.0,645.0
S8971011515,330282014,2024-03-19 10:22:44+00:00,2013.0,645.0
S8975286086,330282014,2024-03-19 14:18:47+00:00,2013.0,645.0
S8975338062,330282014,2024-03-19 14:20:33+00:00,2013.0,645.0
S8975482788,330282016,2024-03-19 14:27:46+00:00,2013.0,645.0
S8978204326,330282013,2024-03-19 16:53:42+00:00,2013.0,645.0
S8963191347,330160353,2024-03-18 14:12:27+00:00,2913.0,1000.0
S8973142575,330160353,2024-03-19 12:26:14+00:00,2913.0,1000.0
S8957574056,330160354,2024-03-18 09:17:01+00:00,2913.0,1000.0
S8959280469,330160350,2024-03-18 10:50:11+00:00,2913.0,1000.0
S8959658339,330160357,2024-03-18 11:11:33+00:00,2913.0,1000.0
S8959790036,330160353,2024-03-18 11:18:46+00:00,2913.0,1000.0
S8960537268,330160349,2024-03-18 11:59:45+00:00,2913.0,1000.0
S8963415174,330160351,2024-03-18 14:22:40+00:00,2913.0,1000.0
S8964129827,330160353,2024-03-18 14:54:00+00:00,2913.0,1000.0
S8965389444,330160357,2024-03-18 15:57:07+00:00,2913.0,1000.0
S8965841135,330160354,2024-03-18 16:24:07+00:00,2913.0,1000.0
S8967512244,330160352,2024-03-19 05:17:44+00:00,2913.0,1000.0
S8968953825,330160354,2024-03-19 08:08:11+00:00,2913.0,1000.0
S8971464382,330160354,2024-03-19 10:47:22+00:00,2913.0,1000.0
S8973934591,330160350,2024-03-19 13:10:57+00:00,2913.0,1000.0
S8974858715,330160348,2024-03-19 13:57:53+00:00,2913.0,1000.0
S8976176674,330160354,2024-03-19 14:59:58+00:00,2913.0,1000.0
S8976812569,330160353,2024-03-19 15:31:27+00:00,2913.0,1000.0
S8977385173,330160348,2024-03-19 16:01:14+00:00,2913.0,1000.0
S8978004171,330160350,2024-03-19 16:38:04+00:00,2913.0,1000.0
S8954366779,330285698,2024-03-18 00:30:15+00:00,2373.0,645.0
S8958002352,330285699,2024-03-18 09:41:19+00:00,2373.0,645.0
S8964036917,330285696,2024-03-18 14:50:33+00:00,2373.0,645.0
S8966151860,330285699,2024-03-18 16:44:28+00:00,2373.0,645.0
S8975544958,330285702,2024-03-19 14:30:13+00:00,2373.0,645.0
S9684297484,330285696,2024-05-14 14:18:32+00:00,2223.0,707.0
S9582143938,330285703,2024-05-06 11:05:04+00:00,2077.0,707.0
S9662692902,330285700,2024-05-13 03:41:17+00:00,2139.0,707.0
S9746042509,330285703,2024-05-19 10:44:11+00:00,2223.0,707.0
S9751258256,330285702,2024-05-19 15:29:39+00:00,2223.0,707.0
S9818547576,330285698,2024-05-24 14:41:10+00:00,2265.0,707.0
S9569937377,330285703,2024-05-05 09:44:09+00:00,2097.0,707.0
S9571638358,330285700,2024-05-05 11:27:09+00:00,2097.0,707.0
S9900327641,330285700,2024-05-31 07:41:05+00:00,2265.0,707.0
S9663695923,330285700,2024-05-13 07:03:47+00:00,2181.0,707.0
S9670982250,330285699,2024-05-13 13:43:46+00:00,2181.0,707.0
S9657093774,330285701,2024-05-12 12:21:04+00:00,2181.0,707.0
S9632091935,330285698,2024-05-10 11:10:14+00:00,2139.0,707.0
S9784823574,330285696,2024-05-22 09:11:23+00:00,2223.0,707.0
S9602734128,330285703,2024-05-08 05:23:17+00:00,2139.0,707.0
S9683639976,330285697,2024-05-14 13:45:54+00:00,2181.0,707.0
S10049932646,330285703,2024-06-11 10:20:20+00:00,2265.0,707.0
S9788794300,330285699,2024-05-22 12:52:35+00:00,2223.0,707.0
S9803762865,330285700,2024-05-23 14:10:28+00:00,2223.0,707.0
S9816770155,330285703,2024-05-24 13:20:27+00:00,2248.03,707.0
S9746644682,330285697,2024-05-19 11:15:59+00:00,2181.0,707.0
S9683097757,330285703,2024-05-14 13:18:47+00:00,2181.0,707.0
S10109254724,330285697,2024-06-15 12:51:04+00:00,1887.0,707.0
S9908115050,330285698,2024-05-31 14:39:33+00:00,2265.0,707.0
S9621166904,330285703,2024-05-09 11:11:30+00:00,2181.0,707.0
S9530239892,330285697,2024-05-02 10:11:48+00:00,2097.0,707.0
S9774867607,330285699,2024-05-21 12:19:40+00:00,2223.0,707.0
S9778770190,330285700,2024-05-21 15:27:24+00:00,2223.0,707.0
S9765069285,330285696,2024-05-20 15:22:39+00:00,2223.0,707.0
S10083933015,330285698,2024-06-13 15:39:07+00:00,1887.0,707.0
