id,size_id,date,quantity,warehouse_id
121680,336982755,2024-03-23 00:00:00+00:00,29,5
128205,336982755,2024-03-24 00:00:00+00:00,0,4
128206,336982755,2024-03-24 00:00:00+00:00,28,5
138312,336982755,2024-03-25 00:00:00+00:00,0,4
138313,336982755,2024-03-25 00:00:00+00:00,28,5
141589,336982755,2024-03-26 00:00:00+00:00,28,5
141634,336982755,2024-03-26 00:00:00+00:00,0,4
152250,336982755,2024-03-27 00:00:00+00:00,28,5
152380,336982755,2024-03-27 00:00:00+00:00,0,4
157926,336982755,2024-03-28 00:00:00+00:00,0,4
158023,336982755,2024-03-28 00:00:00+00:00,26,5
168939,336982755,2024-03-29 00:00:00+00:00,26,5
169010,336982755,2024-03-29 00:00:00+00:00,1,4
190452,336982755,2024-03-30 00:00:00+00:00,26,5
190479,336982755,2024-03-30 00:00:00+00:00,1,4
196547,336982755,2024-03-31 00:00:00+00:00,0,4
196611,336982755,2024-03-31 00:00:00+00:00,23,5
210260,336982755,2024-04-01 00:00:00+00:00,23,5
210299,336982755,2024-04-01 00:00:00+00:00,0,21
210333,336982755,2024-04-01 00:00:00+00:00,0,4
235175,336982755,2024-04-02 00:00:00+00:00,23,5
235194,336982755,2024-04-02 00:00:00+00:00,0,21
235248,336982755,2024-04-02 00:00:00+00:00,0,4
242068,336982755,2024-04-03 00:00:00+00:00,0,21
242098,336982755,2024-04-03 00:00:00+00:00,0,4
242158,336982755,2024-04-03 00:00:00+00:00,22,5
287581,336982755,2024-04-04 00:00:00+00:00,0,21
287769,336982755,2024-04-04 00:00:00+00:00,21,5
287818,336982755,2024-04-04 00:00:00+00:00,0,4
309366,336982755,2024-04-05 00:00:00+00:00,21,5
309397,336982755,2024-04-05 00:00:00+00:00,0,4
324993,336982755,2024-04-06 00:00:00+00:00,0,4
325080,336982755,2024-04-06 00:00:00+00:00,20,5
341592,336982755,2024-04-07 00:00:00+00:00,0,25
341608,336982755,2024-04-07 00:00:00+00:00,18,5
341677,336982755,2024-04-07 00:00:00+00:00,1,4
363365,336982755,2024-04-08 00:00:00+00:00,0,25
363515,336982755,2024-04-08 00:00:00+00:00,1,4
363516,336982755,2024-04-08 00:00:00+00:00,16,5
378530,336982755,2024-04-09 00:00:00+00:00,0,25
378608,336982755,2024-04-09 00:00:00+00:00,16,5
378701,336982755,2024-04-09 00:00:00+00:00,1,4
398144,336982755,2024-04-10 00:00:00+00:00,0,25
398281,336982755,2024-04-10 00:00:00+00:00,16,5
398353,336982755,2024-04-10 00:00:00+00:00,1,4
417082,336982755,2024-04-11 00:00:00+00:00,0,25
417180,336982755,2024-04-11 00:00:00+00:00,16,5
417291,336982755,2024-04-11 00:00:00+00:00,1,4
431336,336982755,2024-04-12 00:00:00+00:00,0,4
431337,336982755,2024-04-12 00:00:00+00:00,1,1
431357,336982755,2024-04-12 00:00:00+00:00,13,5
457712,336982755,2024-04-13 00:00:00+00:00,1,1
457880,336982755,2024-04-13 00:00:00+00:00,13,5
457890,336982755,2024-04-13 00:00:00+00:00,0,4
457891,336982755,2024-04-13 00:00:00+00:00,0,22
461262,336982755,2024-04-14 00:00:00+00:00,1,1
461346,336982755,2024-04-14 00:00:00+00:00,0,22
461427,336982755,2024-04-14 00:00:00+00:00,12,5
461432,336982755,2024-04-14 00:00:00+00:00,0,4
479497,336982755,2024-04-15 00:00:00+00:00,0,22
479546,336982755,2024-04-15 00:00:00+00:00,12,5
479641,336982755,2024-04-15 00:00:00+00:00,2,1
479686,336982755,2024-04-15 00:00:00+00:00,0,4
496298,336982755,2024-04-16 00:00:00+00:00,0,22
496380,336982755,2024-04-16 00:00:00+00:00,2,1
496559,336982755,2024-04-16 00:00:00+00:00,10,5
496575,336982755,2024-04-16 00:00:00+00:00,0,4
511028,336982755,2024-04-17 00:00:00+00:00,2,1
511177,336982755,2024-04-17 00:00:00+00:00,0,45
511212,336982755,2024-04-17 00:00:00+00:00,0,4
511288,336982755,2024-04-17 00:00:00+00:00,9,5
